website;Offline Capabilities;Push Notifications;Add to Home Screen;Background Sync;Navigation Preload;Storage Estimation;Persistent Storage;Web Share;Media Session;Media Capabilities;Device Memory;Getting Installed Related Apps;Payment Request;Credential Management;Background Tasks;Background Fetch
superatv.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
cginederland.nl;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
rentsher.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
cardladder.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
newauction.com.ua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
avcilarhabermerkezi.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
sundaykiss.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
bitsler.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
a-coding-project.de;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
petcity.gr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
charlestoncrafted.com;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
bitkong.com;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cannasos.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
accuwebhosting.com;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
zuiderzeeland.nl;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
biareview.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
fischerverlage.de;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
startblogging.co;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sinonimi-contrari.it;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ovb-online.de;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kukksi.de;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
unicyclist.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
elakiri.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
progorod76.ru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stackblitz.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
crosswalk.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
telemetry2u.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
dex-trade.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
commercemates.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tvcnw.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
lotto432.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
colway.pl;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
icco.org;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
cookcraftlove.com;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
todosiglas.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ponty.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
form-mailer.jp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
masa.co.il;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
maxmuscleelite.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
skaties.lv;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
dateinasia.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
solarweb.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
cheaptickets.nl;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
apptuts.net;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
nrbjobs.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
paradisetechsoft.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
chronext.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tourparavel.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
jainjas.com;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j-town.net;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
delivery-club.ru;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
europe-tp.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
brave-mo.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
avinapardaz.com;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
mistercomparador.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
soupaddict.com;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
green-connector.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
alternet.org;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
telpharma.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stolenhistory.org;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hookupguide.org;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
hostnoc.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
footcenter.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
fmrockandpop.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
freecreatives.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
stoloto.ru;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
miniriders.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
dreamz.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
pulsegaming-ocm.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
humanevents.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thebitcoinstrip.com;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
whalestreet.xyz;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tv-sports.fr;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
mangatone.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
harttools.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
dnanexus.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
jetcost.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nd.edu;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
zebra-tv.ru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
childrensdmc.org;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
daisiesandpie.co.uk;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
debian-fr.org;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
badgerandblade.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
harperstephenson.co.uk;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
voxviva.app;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
planetspark.in;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
nafeco.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
game.es;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
dayonline.ru;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cheshire-live.co.uk;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
vladivostok.lovikupon.ru;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
edigest.hk;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
infinitidesign.it;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
santemagazine.fr;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
spartan-english.jp;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
fitnessvolt.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
anadoludabugun.com.tr;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
domoplius.lt;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
corksport.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
reverehealth.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
